CustomerID,Age,Gender,Occupation,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,PreferredInvestmentType,IncomeInvested,InvestmentDuration,RiskTolerance,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome
611,60,M,Doctor,1057.6227850953055,4,465.62211821166903,119.4714743485045,382.2067960787707,Real Estate,0.49023761974761576,Long-term,High,True,True,True,603,98920.60860751795
3838,29,F,Teacher,978.305384618662,4,325.94485294717475,195.97172041669532,219.92189117351825,Mutual Funds,0.38819424572863587,Long-term,Low,True,True,True,578,40002.13692963919
1930,30,F,Clerk,257.1078852618568,15,319.9826297338095,166.43208891237074,176.698584005239,Bonds,0.13579879657390398,Long-term,Medium,True,True,True,554,34292.9100121634
3741,41,M,Clerk,922.0257425718594,5,317.8435208225346,194.7796986124897,129.294111423889,Bonds,0.4541009441109998,Long-term,High,True,False,True,474,35894.57876770154
2833,42,F,Teacher,237.76087961071917,14,260.2481525169088,493.521966291983,203.09926422994056,Real Estate,0.15429964837031257,Short-term,Medium,False,False,False,807,44157.970052252174
1030,34,M,Nurse,250.8644825148113,16,280.38340044320813,78.73986553961191,248.5762114457139,Mutual Funds,0.24640463010386582,Long-term,Low,True,False,True,570,26147.0439342519
570,65,M,Lawyer,995.1493261106035,1,609.3400208587713,230.2029337649803,413.0335076346435,Stocks,0.4307969123242543,Long-term,Medium,True,False,True,712,92544.90062187465
3130,34,M,Clerk,1100.8008609356339,4,242.11218071480775,303.1993243574654,156.86470058361135,Bonds,0.5185071014729802,Long-term,Low,True,True,False,631,37148.00605264705
2554,24,F,Teacher,278.54706194952644,14,297.1723957547936,499.9675680800602,150.09494210080334,Stocks,0.22192626410467414,Long-term,High,True,False,False,740,36055.68437912702
370,57,F,Engineer,982.3215991859767,6,488.20872865989213,245.75191264456828,352.87375551360003,Real Estate,0.502388941322515,Short-term,Medium,True,True,True,777,95075.01822783238
1799,34,F,Teacher,268.2954629839431,16,274.11662099206364,161.01108818100423,177.37928426130878,Mutual Funds,0.2515902640925578,Long-term,Medium,True,True,True,647,28038.700306151008
456,58,M,Lawyer,1040.8501305288244,4,578.7032983909736,217.88370855911455,348.2979291171291,Stocks,0.4742989182111832,Long-term,Low,True,True,True,642,94523.95682541473
1069,33,M,Teacher,383.34785425982915,13,392.29734015771766,233.65294597438293,240.11409147616928,Mutual Funds,0.1947475623994142,Short-term,High,True,True,True,605,37942.63816695818
289,64,M,Engineer,956.4033132052086,6,451.65833673650747,166.48647364013357,437.9080242053048,Stocks,0.48768134814949055,Long-term,Medium,False,False,True,643,101279.24370150031
3543,33,F,Teacher,997.3504771144842,4,295.22444042490093,259.83112599205134,188.42964605413158,Bonds,0.2793504373949737,Long-term,Low,True,False,True,436,38809.707911396865
2531,35,F,Nurse,253.49758068568656,16,265.5254166657192,557.3163667942097,174.66631751526887,Stocks,0.1092839339059486,Short-term,High,False,False,False,754,38865.36195820047
604,53,M,Lawyer,992.5341411876457,5,547.8089194386749,264.1806240491311,469.5296296980747,Stocks,0.4673316176346497,Long-term,Medium,True,True,True,754,100456.92653726679
191,67,M,Lawyer,930.9127785289006,5,525.0945335493354,171.1901646757471,380.97278813465084,Stocks,0.39884295957949456,Long-term,Medium,True,True,True,684,100273.11594378654
